Fecha,Sitio,Especie,Repeticion,Peso_g,Lado_A,Lado_B,Lado_C
2-Sep-24,Laboratorio,Gavia,1,8.21,19.5,19.51,20.48
2-Sep-24,Laboratorio,Gavia,2,8.37,19.91,19.94,20.45
2-Sep-24,Laboratorio,Gavia,3,8.12,19.23,19.8,20.45
2-Sep-24,Laboratorio,Gavia,4,7.76,16.63,19.72,20.49
2-Sep-24,Laboratorio,Gavia,5,7.1,19.06,18.96,20.36
2-Sep-24,Laboratorio,Gavia,6,8.73,19.76,19.85,20.31
2-Sep-24,Laboratorio,Gavia,7,8.78,19.59,19.73,20.4
2-Sep-24,Laboratorio,Gavia,8,7.46,19.62,19.79,20.38
2-Sep-24,Laboratorio,Gavia,9,7.81,19.63,19.57,19.73
2-Sep-24,Laboratorio,Gavia,10,6.74,19.56,19.36,19.5
2-Sep-24,Laboratorio,Gavia,11,7.69,19.37,20.47,18.9
2-Sep-24,Laboratorio,Gavia,12,8.05,19,20.4,19.5
2-Sep-24,Laboratorio,Gavia,13,8.01,19.3,20.51,19.47
2-Sep-24,Laboratorio,Gavia,14,7.24,19,20.37,19.16
2-Sep-24,Laboratorio,Gavia,15,8.19,19.28,20.37,19.56
2-Sep-24,Laboratorio,Gavia,16,9.18,20.15,20.48,19.77
2-Sep-24,Laboratorio,Gavia,17,8.32,19.58,20.44,19.22
2-Sep-24,Laboratorio,Gavia,18,8.73,19.66,20.53,19.69
2-Sep-24,Laboratorio,Gavia,19,8.85,19.88,20.48,19.91
2-Sep-24,Laboratorio,Gavia,20,7.24,18.81,19.15,20.48
2-Sep-24,Laboratorio,Barreta,1,7.53,20.83,19.61,19.46
2-Sep-24,Laboratorio,Barreta,2,7.29,19.69,20.92,19.46
2-Sep-24,Laboratorio,Barreta,3,7.61,19.64,19.036,20.92
2-Sep-24,Laboratorio,Barreta,4,7.36,19.61,20.82,19.56
2-Sep-24,Laboratorio,Barreta,5,7.55,19.66,20.9,19.66
2-Sep-24,Laboratorio,Barreta,6,7.46,20.77,19.61,19.88
2-Sep-24,Laboratorio,Barreta,7,7.58,16.6,20.74,19.76
2-Sep-24,Laboratorio,Barreta,8,7.81,19.73,20.84,19.92
2-Sep-24,Laboratorio,Barreta,9,7.85,19.76,21.14,19.85
2-Sep-24,Laboratorio,Barreta,10,7.64,19.35,19.62,20.92
2-Sep-24,Laboratorio,Barreta,11,7.33,19.49,20.96,19.65
2-Sep-24,Laboratorio,Barreta,12,7.65,19.9,20.86,19.46
2-Sep-24,Laboratorio,Barreta,13,7.41,19.56,20.86,19.66
2-Sep-24,Laboratorio,Barreta,14,6.85,19.33,20.87,19.42
2-Sep-24,Laboratorio,Barreta,15,7.19,19.68,20.84,19.48
2-Sep-24,Laboratorio,Barreta,16,7.18,19.46,21.02,19.39
2-Sep-24,Laboratorio,Barreta,17,7.11,19.26,20.94,19.2
2-Sep-24,Laboratorio,Barreta,18,7.44,19.88,20.75,19.46
2-Sep-24,Laboratorio,Barreta,19,8.01,19.62,20.94,19.74
2-Sep-24,Laboratorio,Barreta,20,7.8,20.95,19.67,19.75
